Artista,Cancion,Ranking
FloyyMenor,PELIGROSA,1
Standly,Pégate,2
Kapo,Ohnana,4
Felix Tena,Tonight,5
Karina y Marina & Hugo23 & Sennior,Bombon Karina VS Sennior,6
Alphaville,Forever Young,7
Omar Courtz & De La Rose,Q U E  V A S  H A C E R  H O Y ?,8
Darell,Sexy Sensual,9
Karina y Marina & Hugo23 & Sennior,Bombon Karina VS Hugo23,10
NESYA,delulu,11
Gold-Tiger,Funny,12
Surf Curse,Disco,13
Myke Towers & benny blanco,DEGENERE,14
Vines,being loved isn't the same as being understood,15
Mariah Carey,All I Want for Christmas Is You,16
Kapo,UWAIE,17
Sabrina Carpenter,Taste,18
KAROL G,Si Antes Te Hubiera Conocido,19
"Clean Bandit,Zara Larsson",Symphony,21
Los Sufridos & Bad Gyal,Duro De Verdad pt.2,22
Clarent & Mora,IA,23
moshimo sound design,Chopin Nocturne No. 2 Piano Mono,24
Y2K SPORTS,Doner Kebab Nacho Alejandro Garnacho,26
Israel Amador,TAN MALA 2,27
Kobe Mane & SoyFlowers,Olympo Rave,28
Walls,haz lo que quieras conmigo (Parte 1),29
Cano,Se Pone Las Nike,30
Yan Block & TORRRES,Yo sé,31
Música de Fondo Colección,Tristeza y Pena,32
Las Rodes & Liderj,Tarará,33
Rochy RD & Myke Towers & Nicki Nicole,Ella No Es Tuya (Remix),34
Punch-Drunk Love,He Needs Me,35
Gloveity,"10 minutes, meditation, sleep, mindfulness, night(951759)",37
Disturbed,The Sound of Silence (CYRIL Remix),38
El Burger & Kobe Mane & kyozeh,GodKKilla,39
Topo Gigio,Hasta Mañana Que Descansen Bien,40
Myke Towers,TAMBIÉN,41
neozilla,Inspirational,42
my head is empty,i was only temporary,43
El Alfa & Nfasis,ESTE,44
MC Xangai & Dj Davy Felipe & DJ TAK VADIÃO,Hoje em Dia é Difícil Encontrar (Versão BH),45
Odetari,KEEP UP,46
Villano Antillano & Nesi,Títeres - Ft. Nesi,47
Aphex Twin,QKThr,48
No Doubt,Just A Girl,49
Enchan,Very Sad,50
The King Khan & BBQ Show,Love You So,51
Modern Talking,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),52
RAMKY EN LOS CONTROLES & Roze Oficial,SALE SOLA,53
Tiago PZK & Anitta & Emilia,Alegría,54
Karina y Marina & Hugo23 & Sennior,TO-TO,55
Don Omar,Dutty Love,56
Madcon,Don't Worry (with Ray Dalton) [Radio Edit],57
Josué Novais Piano Worship,Boundless Worship,58
JC Reyes & Papi Paler & Elilluminari,Los Canijitos Feos,59
PeriTune,Halloween ・ cute horror song,60
Ghost Killer Track & Kidd Keo,Celine (with Kidd Keo),61
Antonio Orozco,Estoy Hecho De Pedacitos De Ti,62
Quevedo & Aitana,GRAN VÍA,64
DJ Kayz & Keblack & Naza,Com'dab (feat. Keblack & Naza),65
Yami Safdie & Lasso,En Otra Vida,66
The Lonely Tree,Killswitch Lullaby (Slowed + Reverb),67
Øneheart & reidenshi,snowfall,68
Jordan Adetunji,KEHLANI,69
Klim,Toa Toa,70
Drake,Toosie Slide,71
Ogryzek,AURA,72
Karina y Marina & Jose Seron,La Reina de YouTube,73
Tollan Kim,Aesthetic,74
HUMBE,KINTSUGI,75
JC el Diamante,Fotitos,76
Monchini,Por Que Tu No Lo Dejas,77
Dj Rumbero518,Rumbas Portuguesas,78
Lady Gaga & Bruno Mars,Die With A Smile,79
Lt FitzGibbons Men,Monkeyshine-JP,80
DM Production,Christmas Is Coming,81
takaya,"Suspense, horror, piano and music box",82
Karina y Marina & Hugo23 & Sennior,TOTO Karina vs Hugo23,83
3KTrack,"Christmas song ""Let's decorate""",84
Esperón,Vamos a Ser Felices,85
GRECAS,ReLaMiDo,86
Bobby Helms,Jingle Bell Rock,87
Lenny Tavárez,No Quiere Amor (Remix),88
Saiko & Bryant Myers,ESKELETO,89
elaggume & Fauna Music & Vainy,PELEAMOS,90
ROSÉ & Bruno Mars,APT.,91
Charlie Jeer,Her Eyes,92
Brenda Lee,Rockin' Around The Christmas Tree,93
Dj Samir & Fyex,Montagem Rave Eterno,94
Nicki Minaj,Anaconda,95
Draganov89,Epic Music(863502),96
Omar Courtz & Rauw Alejandro,S E X P L A Y L I S T 1,97
Platon Davydov,Dramatic Sad Violin,98
Sevdaliza & Pabllo Vittar & Yseult,Alibi,99
HCTM,Chichiquetere,100
